,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
331,0.8074,Sat Dec 23 01:34:57 +0000 2017,0.659,0.08,0.261,32,@Fox
332,0.0,Sat Dec 23 01:34:08 +0000 2017,1.0,0.0,0.0,33,@Fox
333,0.5994,Sat Dec 23 01:31:48 +0000 2017,0.62,0.0,0.38,34,@Fox
334,-0.5622,Fri Dec 22 23:48:59 +0000 2017,0.718,0.195,0.087,35,@Fox
335,0.0,Fri Dec 22 23:45:59 +0000 2017,1.0,0.0,0.0,36,@Fox
336,-0.296,Fri Dec 22 21:31:51 +0000 2017,0.891,0.109,0.0,37,@Fox
337,0.0,Fri Dec 22 08:31:09 +0000 2017,1.0,0.0,0.0,38,@Fox
338,0.0,Fri Dec 22 00:02:10 +0000 2017,1.0,0.0,0.0,39,@Fox
339,-0.296,Thu Dec 21 09:28:38 +0000 2017,0.645,0.355,0.0,40,@Fox
340,0.3612,Sat Dec 23 11:22:48 +0000 2017,0.545,0.0,0.455,41,@Fox
341,0.0,Sat Dec 23 07:50:56 +0000 2017,1.0,0.0,0.0,42,@Fox
342,0.7073,Sat Dec 23 07:28:18 +0000 2017,0.787,0.0,0.213,43,@Fox
343,-0.7783,Sat Dec 23 06:30:57 +0000 2017,0.702,0.298,0.0,44,@Fox
344,0.0258,Sat Dec 23 06:26:12 +0000 2017,0.948,0.0,0.052,45,@Fox
345,-0.4939,Sat Dec 23 06:24:25 +0000 2017,0.572,0.262,0.166,46,@Fox
346,0.7178,Sat Dec 23 06:04:30 +0000 2017,0.647,0.0,0.353,47,@Fox
347,0.6697,Sat Dec 23 03:02:54 +0000 2017,0.609,0.11,0.281,48,@Fox
348,-0.3919,Sat Dec 23 01:37:29 +0000 2017,0.575,0.267,0.158,49,@Fox
349,0.0,Sat Dec 23 01:35:57 +0000 2017,1.0,0.0,0.0,50,@Fox
350,0.0,Sat Dec 23 01:35:46 +0000 2017,1.0,0.0,0.0,51,@Fox
351,0.8074,Sat Dec 23 01:34:57 +0000 2017,0.659,0.08,0.261,52,@Fox
352,0.0,Sat Dec 23 01:34:08 +0000 2017,1.0,0.0,0.0,53,@Fox
353,0.5994,Sat Dec 23 01:31:48 +0000 2017,0.62,0.0,0.38,54,@Fox
354,-0.5622,Fri Dec 22 23:48:59 +0000 2017,0.718,0.195,0.087,55,@Fox
355,0.0,Fri Dec 22 23:45:59 +0000 2017,1.0,0.0,0.0,56,@Fox
356,-0.296,Fri Dec 22 21:31:51 +0000 2017,0.891,0.109,0.0,57,@Fox
357,0.0,Fri Dec 22 08:31:09 +0000 2017,1.0,0.0,0.0,58,@Fox
358,0.0,Fri Dec 22 00:02:10 +0000 2017,1.0,0.0,0.0,59,@Fox
